"id","title","all_content_tag"
1,"最近分手了","最近(f) 分手(v) 了(ul) 幾天(m) 前(f) 和(c) 交往(v) 快(a) 四年(m) 的(uj) 男友(n) 分手(v) 了(ul) 從(zg) 學生(n) 時代(n) 到(v) 現在(t) 剛出(x) 社會(n) 我(r) 以(p) 為(zg) 可以(c) 走向(v) 未來(t) 但(c) 對方(n) 想要(v) 自由(a) 就(d) 如同(d) 一如既往(i) 對(p) 他(r) 的(uj) 愛(zg) 一樣(r) 我愛他(x) 所以(c) 我(r) 選擇(v) 放手(v) 不願(x) 成為(x) 束縛(vn) 他(r) 的(uj) 自私(a) 的(uj) 人(n) 但(c) 我(r) 真的(d) 很(zg) 痛苦(an) 朋友(n) 要(v) 我(r) 開始(v) 想(v) 做(v) 什麼(r) 事會(x) 開心(v) 但(c) 我(r) 只(d) 想到(v) 過去(t) 只要(c) 讓(v) 他(r) 開心(v) 我(r) 就(d) 快樂(a) 了(ul) 完全(ad) 遺忘(v) 自己(r) 的(uj) 存在(v) 麻煩(an) 版友(n) 把(p) 我(r) 噓(e) 醒(v) 讓(v) 我(r) 知道(v) 我(r) 沒有(v) 他(r) 也(d) 可以(c) 很(zg) 好(a) 謝謝(nr)"
2,"分手快樂","分手(v) 快樂(a) 和(c) 交往(v) 兩年(m) 半(m) 的(uj) 女友(n) 分手(v) 心情(n) 沒有(v) 多大(x) 的(uj) 起伏(v) 或許(d) 是(v) 過往(t) 的(uj) 美好(a) 已(d) 淡去(v) 又(d) 或許(d) 是(v) 心累(v) 的(uj) 只(d) 想(v) 趕快(d) 過去(t) 但(c) 她(r) 仍然(d) 是(v) 我(r) 最愛(a) 的(uj) 曾經(d) 往後(t) 許久(m) 可能(v) 會(v) 在(p) 某夜(x) 想起(v) 那(r) 之前(f) 的(uj) 一點一滴(m) 但(c) 我們(r) 都(d) 要(v) 放下(v) 過去(t) 繼續(v) 往下(t) 一步(m) 邁進(v) 祝福(nr) 妳(zg) 找到(v) 更好(d) 的(uj) 婕(x) 答應(v) 我(r) 好好(d) 照顧(v) 自己(r) 妳(zg) 我(r) 不配(v) 致(v) 我(r) 親愛(a) 的(uj) 前女友(n) 西元(t) 2019(m) 12(m) 12(m) 11(m) 29(m) pm(eng) 於(nr) 中華民國(ns) 臨時(b) 首都(d) 台北(ns) 願(v) 吾人(r) 能(v) 化作(n) 流星(n) 在(p) 浩瀚(a) 銀河(n) 中(f) 旅行(vn)"
3,"交往很久之後但分手該怎麼調適心情?","交往(v) 很久(m) 之後(f) 但(c) 分手(v) 該(r) 怎麼(r) 調適(a) 心情(n) 半夜(m) 睡(v) 不(d) 著覺(x) 第一次(m) 在(p) 這個(r) 板(ng) 發文(n) 跟(p) 初戀(v) 交往(v) 好久(m) 了(ul) 現在(t) 兩個(m) 人(n) 都(d) 即將(d) 30(m) 歲(zg) 79(m) 80(m) 年次(x) 分手(v) 的(uj) 原因(n) 就(d) 不(d) 討論(v) 了(ul) 分開(v) 之後(f) 就(d) 好像(v) 把(p) 這(zg) 四五年(m) 的(uj) 回憶(v) 抽離(x) 從(zg) 研究所(n) 當兵(n) 找(v) 工作(vn) 很多很多(m) 的(uj) 回憶(v) 想問(x) 大家(n) 會(v) 如何(r) 調適(a) 自己(r) 的(uj) 心情(n) 呢(y) 想著(x) 想(v) 著(n) 就(d) 淚(n) 崩(v) 了(ul) 好(a) 傷心(n)"
4,"分手了，該振作了","分手(v) 了(ul) 該(r) 振作(vn) 了(ul) 現在(t) 正在(t) 溫哥華(nr) 回台灣(x) 的(uj) 飛機(n) 上(f) 回想(v) 過去(t) 一年(m) 半(m) 的(uj) 回憶(v) 還是(c) 忍不住(v) 哭(v) 了(ul) 一年(m) 半前(x) 我(r) 25(m) 你(r) 26(m) 請(zg) 多(m) 指教(n) 是(v) 我們(r) 520(m) 那天(r) 在(p) 一起(m) 對(p) 彼此(r) 說(zg) 的話(u) 前(f) 大半年(t) 好開心(l) 等(u) 你(r) 下課(v) 你(r) 等(u) 我(r) 下(f) 班(n) 走過(v) 無數(m) 大大小小(z) 的(uj) 景點(n) 後來(t) 將近(t) 一年(m) 的(uj) 遠距離(n) 中間(f) 妳(zg) 回大陸(nz) 兩次(m) 我(r) 都(d) 飛過去(v) 陪(v) 你(r) 也(d) 飛(n) 了(ul) 一趟(m) 溫哥華(nr) 每(zg) 一次(m) 的(uj) 見面(n) 都(d) 讓(v) 我(r) 非常(d) 珍惜(a) 分手(v) 前(f) 最後(f) 一次(m) 見面(n) 是(v) 一個月(m) 前(f) 你(r) 回來(v) 參加(v) 妳(zg) 最好(a) 姐妹(n) 的(uj) 婚禮(n) 看著(x) 妳(zg) 的(uj) 笑容(n) 更(d) 堅定(a) 要(v) 與(zg) 妳(zg) 走(v) 下去(t) 的(uj) 心(n) 但(c) 因為(x) 一次(m) 吵架(v) 以及(c) 自己(r) 的(uj) 賭氣(n) 讓(v) 我們(r) 一直(d) 以來(f) 的(uj) 問題(n) 徹底(ad) 爆發(v) 也(d) 讓(v) 你(r) 對(p) 我(r) 很(zg) 失望(v) 我(r) 自己(r) 始終(d) 沒有(v) 辦法(n) 原諒(nr) 自己(r) 當下(t) 因為(x) 賭氣(n) 而(c) 冷落(v) 了(ul) 因為(x) 家裡(x) 遭(v) 小偷(d) 而(c) 害怕(v) 的(uj) 你(r) 這(zg) 一次(m) 讓(v) 你(r) 不再(d) 心軟(a) 20(m) 天前(x) 你(r) 提(v) 了(ul) 分手(v) 每天(r) 無法(n) 安穩(a) 入眠(v) 也(d) 沒有(v) 辦法(n) 接受(v) 我們(r) 已經(d) 分開(v) 的(uj) 事實(n) 決定(v) 請假(v) 飛(n) 一趟(m) 溫哥華(nr) 想(v) 跟(p) 你(r) 當面(f) 說(zg) 清楚(a) 準備(v) 了(ul) 33(m) 朵玫瑰(nr) 三本(ns) 手工(n) 相冊(v) 卡片(nz) 在(p) 你(r) 畢業(n) 前一天(t) 飛過去(v) 出現(v) 在(p) 你(r) 家門口(s) 希望(v) 能(v) 將你(x) 挽回(v) 走(v) 下樓(v) 的(uj) 你(r) 很(zg) 冷靜(a) 溝通(v) 之後(f) 你(r) 卻(d) 依然(d) 說出(v) 你(r) 的(uj) 決定(v) 不會(v) 改變(v) 你(r) 累(a) 了(ul) 不(d) 想(v) 一起(m) 努力(ad) 了(ul) 便(d) 送(v) 我(r) 離開(v) 到(v) 了(ul) 朋友家(n) 後(f) 忍不住(v) 大哭(v) 了(ul) 一場(m) 好像(v) 也(d) 宣洩(x) 了(ul) 不少(d) 壓力(n) 也(d) 覺得(v) 自己(r) 好(a) 了(ul) 很多(m) 這(zg) 幾天(m) 也(d) 在(p) 溫哥華(nr) 走走(v) 回味(v) 一下(m) 過去(t) 的(uj) 時光(n) 希望(v) 能將(x) 這份(mq) 美好(a) 收起(v) 可能(v) 是(v) 今天(t) 真的(d) 要(v) 離開(v) 了(ul) 到(v) 機場(n) 前(f) 發現自己(l) 心情(n) 越來越(d) 沈重(x) 甚至(d) 妄想(v) 著(n) 妳(zg) 會來(t) 找(v) 我(r) 但(c) 現實(n) 也(d) 只是(c) 你(r) 傳(n) 了(ul) 訊息(n) 說(zg) 希望(v) 你(r) 之後(f) 一切(r) 都(d) 好(a) 即便(c) 答應(v) 過你(x) 不再(d) 挽回(v) 你(r) 還是(c) 忍不住(v) 打給(x) 你(r) 想要(v) 挽回(v) 反而(c) 讓(v) 你(r) 覺得(v) 很煩(a) 甚至(d) 說(zg) 了(ul) 我(r) 們(k) 可以(c) 談戀愛(v) 但(c) 覺得(v) 沒有(v) 辦法(n) 走(v) 下去(t) 聽到(v) 真的(d) 很(zg) 難過(v) 現在(t) 在(p) 飛機(n) 上(f) 淚(n) 已經(d) 流乾(x) 了(ul) 原本(n) 以為(x) 這(zg) 幾天(m) 已經(d) 調適(a) 好(a) 了(ul) 但(c) 從(zg) 踏上(v) 飛機(n) 的(uj) 那(r) 一刻起(m) 這個(r) 分開(v) 的(uj) 痛(a) 真的(d) 好(a) 強烈(a) 也(d) 知道(v) 我(r) 真的(d) 失去(v) 一個(m) 很愛很愛的(x) 人(n) 你(r) 總是(c) 說(zg) 我(r) 教(v) 你(r) 這麼(r) 多(m) 會(v) 不會(v) 到時候(l) 又(d) 是(v) 別人(r) 享受(v) 我(r) 總是(c) 說(zg) 不會(v) 的(uj) 只有(c) 你(r) 可以(c) 獨享(v) 我(r) 想(v) 全部(n) 給你(x) 但(c) 你(r) 不要(df) 了(ul) 我會(n) 記住(v) 曾經(d) 的(uj) 快樂(a) 我(r) 也(d) 永遠(d) 不會(v) 忘記(v) 分開(v) 的(uj) 痛(a) 這些(r) 會(v) 是(v) 我(r) 的(uj) 養分(n) 讓(v) 我(r) 變得(v) 更好(d) 謝謝(nr) 你(r) 的(uj) 指教(n) 也(d) 希望(v) 妳(zg) 能(v) 好好(d) 的(uj) 繼續(v) 加油(v) 這(zg) 一次(m) 飛過來(l) 我(r) 真的(d) 努力(ad) 過了(x) 沒有(v) 留(v) 遺憾(a) 現在(t) 決定(v) 把(p) 時間(n) 填滿(v) 好好(d) 的(uj) 充實(ad) 自己(r) 讓(v) 自己(r) 忙(v) 一點(m) 每天(r) 除了(p) 工作(vn) 還要(c) 健身(v) 運動(vn) 學(zg) 英文(nz) 希望(v) 之後(f) 再(d) 想起(v) 時(zg) 已經(d) 不會(v) 那麼(r) 痛(a) 我會(n) 好好(d) 加油(v) 的(uj) 雖然(c) 朋友(n) 們(k) 都(d) 還說(x) 說不定(l) 以後(f) 還有(v) 機會(n) 但(c) 我(r) 知道(v) 目前(t) 是(v) 絕對(d) 不(d) 可能(v) 了(ul) 也(d) 想問(x) 大家(n) 現在(t) 要(v) 如何(r) 才能(v) 做到(v) 放棄(v) 挽回(v) 這條(mq) 心(n) 真的(d) 好(a) 想(v) 挽回(v) QQ(eng) 手機(n) 排版(v) 請見(v) 諒(v)"
5,"劇烈疼痛的和平分手","劇烈(a) 疼痛(n) 的(uj) 和平(nz) 分手(v) 吶吶(x) 事情(n) 要(v) 從(zg) 哪裡(x) 開始(v) 講呢(x) 雖然(c) 已經(d) 分手(v) 好(a) 一陣子(m) 了(ul) 但是(c) 總是(c) 會(v) 時不時(d) 地(uv) 產生(n) 劇烈(a) 疼痛感(n) 分不清(l) 是(v) 什麼(r) 感受(v) 造成(v) 的(uj) 交往(v) 五年(t) 孤身一人(i) 來(zg) 陌生(n) 的(uj) 城市(ns) 陪伴(n) 在(p) 這塊(r) 土地(n) 並(c) 沒有(v) 熟識(v) 朋友(n) 除了(p) 工作(vn) 以外(c) 的(uj) 時間(n) 都(d) 與(zg) 另一半(d) 緊密(a) 連結(a) 朝夕相處(i) 交往(v) 過程(n) 中(f) 的(uj) 紛紛擾擾(i) 性格(n) 上(f) 的(uj) 摩擦(vn) 因為(x) 熟悉(v) 或(c) 相愛(v) 總是(c) 反覆(v) 分分合合(n) 兩邊(f) 努力(ad) 著(n) 解決(v) 感情(n) 中(f) 的(uj) 各種(r) 障礙(n) 跨過(v) 了(ul) 各種(r) 難關(v) 最終(d) 解決不了(v) 問題(n) 居然(d) 僅僅只是(i) 吵架(v) 了(ul) 願意(v) 低頭(n) 互相(d) 哄(v) 妳(zg) 知道(v) 問題(n) 我(r) 知道(v) 問題(n) 但是(c) 我(r) 做(v) 不到(v) 在(p) 最後(f) 的(uj) 爭執(v) 下(f) 分手(v) 為(zg) 了(ul) 完成(v) 這次(r) 分手(v) 我們(r) 完全(ad) 不(d) 連繫(n) 我們(r) 都(d) 知道(v) 誰(zg) 只要(c) 低了頭(x) 開(v) 了(ul) 口(q) 我們(r) 又(d) 可以(c) 回到(v) 相愛(v) 但是(c) 不(d) 知道(v) 何時(c) 會(v) 再(d) 分手(v) 的(uj) 情況(n) 妳(zg) 情緒(n) 崩潰(v) 我(r) 也(d) 無力(n) 處理(v) 愛的(x) 笨拙(a) 憤怒(v) 的(uj) 理智(n) 阻斷(v) 了(ul) 情感(n) 的(uj) 動作(n) 愛到深處(l) 是(v) 願意(v) 放手(v) 不論(c) 妳(zg) 我(r) 願不願意(v) 終究(d) 在(p) 搬離(v) 這個(r) 城市(ns) 的(uj) 前夕(f) 我們(r) 聊起(v) 了(ul) 過往(t) 聊起(v) 了(ul) 這段(r) 時間(n) 的(uj) 相愛(v) 相殺(x) 各種(r) 以愛的(x) 互相(d) 持續(vd) 的(uj) 折磨(v) 我們(r) 都(d) 認同(v) 我們(r) 是(v) 相愛(v) 的(uj) 但是(c) 我們(r) 的(uj) 相處(d) 沒有(v) 方法(n) 長久(d) 再(d) 這樣(r) 下去(t) 我們(r) 連(nr) 和平(nz) 的(uj) 互相(d) 道別(n) 都(d) 無法(n) 愛到(x) 無法挽回(i) 是(v) 最大(a) 的(uj) 諷刺(v) 沒有(v) 第三者(nz) 沒有(v) 外(f) 在(p) 因素(n) 沒有(v) 感情(n) 不好(d) 只是(c) 愛到(x) 怕(v) 了(ul) 在(p) 恐懼(an) 著(n) 每次(r) 複合(v) 都(d) 是(v) 等待(v) 下(f) 一次(m) 的(uj) 炸裂(v) 分開(v) 了(ul) 與(zg) 對方(n) 的(uj) 關心(n) 都(d) 還在(x) 各種(r) 支持(v) 也(d) 是(v) 持續(vd) 我們(r) 是(v) 長期(d) 的(uj) 隊友(n) 只是(c) 枕邊(s) 不再(d) 的(uj) 溫存(n) 外出(v) 工作(vn) 的(uj) 關心(n) 回落(v) 家門(n) 的(uj) 燈光(n) 都(d) 不再(d) 了(ul) 相愛(v) 的(uj) 和平(nz) 分手(v) 不是(c) 椎心(x) 刺骨(n) 的(uj) 劇痛(n) 而是(c) 鈍刀(n) 緩緩的(z) 擠壓(v) 你(r) 的(uj) 血肉(n) 我們(r) 會(v) 好(a) 的(uj) 會過(x) 得(ud) 更好(d) 要(v) 互相(d) 祝福(nr) 這才(x) 不(d) 枉費(v) 我們(r) 這麼(r) 疼痛(n) 的(uj) 分手(v) 我們(r) 很(zg) 努力(ad) 了(ul) 終究(d) 還是(c) 敗(v) 在(p) 這關(x) 從(zg) 開始(v) 到(v) 結束(v) 始終(d) 問題(n) 版上(x) 諸多(m) 的(uj) 和平(nz) 分手(v) 的(uj) 定義(n) 感覺得到(l) 驗證(v) chiu1993(eng) 和平(nz) 分手(v) 的(uj) 定義(n) 我(r) 覺得(v) 是(v) 要(v) 建立(v) 在(p) 雙方(n) 都(d) 努力(ad) 想(v) 解決問題(n) 但(c) 當下(t) 無法(n) 解決(v) 的(uj) 情況(n) 才(d) 算數(n) lunanightcat(eng) 雙方(n) 都(d) 認同(v) 結束(v) 關係(n) 對(p) 彼此(r) 比較(d) 好(a) 也(d) 沒有(v) 任何(r) 怨懟(v) NomeL(eng) 沒有(v) 人為(x) 感到(v) 怨恨(v) 到(v) 現在(t) 我們(r) 還是(c) 互相(d) 為(zg) 對方(n) 著想(x) 怕(v) 對方(n) 過得(x) 不好(d) 都(d) 要(v) 離開(v) 了(ul) 盡(zg) 可能(v) 把(p) 對方(n) 需要(v) 的(uj) 東西(ns) 仔細(ad) 叮嚀(v) 情人(n) 家人(n) 都(d) 不足以(v) 定義(n) 伴侶(n) 才(d) 是(v) 和平(nz) 分手(v) 真的(d) 很難(x) 達到(v) 相愛(v) 還要(c) 分手(v) 更是(d) 難上加難(i) 這種(r) 窒息(v) 感(v) 無法(n) 言語(nr) 表達(v) 不想(v) 不會(v) 痛(a) 一想(x) 就(d) 感到(v) 窒息(v) 嘖嘖(o) 分手(v) 還在(x) 討論(v) 希望(v) 雙方(n) 能(v) 遇到(v) 對(p) 的(uj) 人(n) 還在(x) 調侃(v) 過往(t) 的(uj) 言論(n) 看著(x) 對方(n) 不好(d) 了(ul) 自己(r) 也(d) 就(d) 放心(v) 了(ul) 沒想到(l) 我們(r) 自己(r) 走到(v) 最後(f) 居然(d) 做(v) 不(d) 出來(v) 這種(r) 事情(n) 落落(v) 長(zg) 的(uj) 內容(n) 不敢(d) 也(d) 不(d) 願意(v) 給(p) 身旁(s) 任何(r) 的(uj) 人(n) 知道(v) 放(v) 在(p) 自己(r) 的(uj) 筆記本(n) 又(d) 無法(n) 自我(r) 療(n) 癒(x) 希望(v) 有情人終成眷屬(i)"
6,"分手了...","分手(v) 了(ul) 分手(v) 後(f) 沒(v) 感覺(n) 到(v) 什麼(r) 難過(v) 我(r) 絕得(x) 我們(r) 滿配(x) 的(uj) 她(r) 長(zg) 得(ud) 像(v) 知恩(v) 我長(x) 得(ud) 像(v) 孔劉(x) 不是(c) 鼻孔(n) 流血(v) 當時(t) 我(r) 在(p) 誠品(x) 搭訕(v) 她(r) 我(r) 哈(nr) 嘍(zg) 美女(n) 妳(zg) 什麼(r) 生肖(n) 她(r) 痾(g) 馬(n) 本來(t) 要(v) 我(r) 說(zg) 屬於(v) 妳(zg) 的梗(x) 網路(n) 上學(n) 的(uj) 緊張(a) 說錯(v) 還好(v) 我(r) 臨危(v) 不亂(a) 的說(x) 正好(a) 我(r) 在(p) 騎驢找馬(vn) 我屬(x) 鼠(n) 也(d) 是(v) 怪(v) 屬叔(x) 我們(r) 再(d) 一起(m) 就(d) 變(zg) 麻(nr) 糬(x) 黏在(v) 一起(m) 了(ul) 之後(f) 我們(r) 就(d) 交換(v) Gmail(eng) 了(ul) 前面(f) 我(r) 怎麼(r) 寄信(v) 她(r) 好像(v) 很少(m) 看(v) 信箱(n) 都(d) 沒(v) 回應(x) 大概(d) 寄(v) 了(ul) 七八十(m) 封(q) 我(r) 還查(x) 她(r) 臉(n) 書用(n) 訊息(n) 之後(f) 好不容易(l) 約(d) 到(v) 我們(r) 也(d) 出來(v) 吃飯(v) 她(r) 說(zg) 想(v) 跟(p) 我(r) 試試看(v) 如果(c) 不(d) 適合(v) 她(r) 不(d) 希望(v) 浪費(n) 我(r) 時間(n) 我(r) 就(d) 欲擒故縱(i) 過(ug) 兩個(m) 小時(n) 後(f) 才(d) 回(v) 覆(v) 她(r) 之後(f) 我們(r) 就(d) 在(p) 一起(m) 了(ul) 相處(d) 上(f) 沒什麼(l) 問題(n) 她(r) 是(v) 個(zg) 幼教(n) 老師(n) 對(p) 小孩(n) 很(zg) 有(v) 耐心(a) 也(d) 喜歡(v) 小(a) 孩(n) 我(r) 很(zg) 討厭(v) 她(r) 說(zg) 以後(f) 她(r) 想要(v) 一個(m) 男的(x) 如果(c) 有(v) 也(d) 是(v) 女(b) 的(uj) ok(eng) 一直(d) 建構(n) 未來(t) 的(uj) 藍圖(nr) 我(r) 屬於(v) 既來之(c) 則安之(nrfg) 的(uj) 個性(n) 都還沒(nr) 遇到(v) 幹嘛(n) 煩惱(a) 之後(f) 還有(v) 一堆(m) 生活(vn) 瑣事(n) 但(c) 我(r) 想(v) 因(p) 該是(r) 我們(r) 的(uj) 緣分(n) 已經(d) 到(v) 了(ul) 吧(y) 感覺(n) 分手(v) 也(d) 沒有(v) 什麼(r) 難過(v) 的(uj) 感覺(n) 欸(zg)"
7,"分手後的一切不甘心","分手(v) 後(f) 的(uj) 一切(r) 不(d) 甘心(n) 不(d) 知道(v) 大家(n) 最近(f) 都(d) 好(a) 嗎(y) 小弟(n) 去年(t) 和(c) 交往(v) 了(ul) 三年(m) 的(uj) 女友(n) 分手(v) 勉強(v) 算得(v) 上(f) 和平(nz) 分手(v) 剛(d) 分手時(n) 還(d) 約定(v) 要(v) 當好(d) 朋友(n) 初期(t) 也(d) 都(d) 有(v) 互相(d) 聯絡(n) 感情(n) 也(d) 不算(v) 差(a) 但(c) 不(d) 曉得(v) 為何(x) 時間(n) 越過(d) 越久(x) 對方(n) 突然(ad) 開始(v) 很(zg) 討厭(v) 自己(r) 開始(v) 想起(v) 分手(v) 前(f) 關於(p) 自己(r) 的(uj) 糟糕(a) 回憶(v) 有點(n) 像是(v) 翻舊帳(i) 結果(n) 越想(x) 越(d) 不對勁(l) 共同(d) 朋友(n) 都(d) 說(zg) 對方(n) 開始(v) 認為(x) 能夠(v) 跟(p) 自己(r) 分手(v) 真是(d) 幸運(a) 然後(c) 都(d) 是(v) 對(p) 自己(r) 講些(x) 不好(d) 聽(v) 的話(u) 小弟(n) 就(d) 感到(v) 很(zg) 難過(v) 不(d) 曉得(v) 為(zg) 啥(r) 結局(n) 是(v) 這樣(r) 發展(vn) 當初(t) 還能(x) 談笑風生(i) 甚至(d) 對方(n) 需要(v) 我(r) 幫忙(v) 的(uj) 時候(n) 例如(v) 要(v) 很早(d) 出門(v) 需要(v) 人載(x) 也(d) 都(d) 很(zg) 盡力(d) 因為(x) 還是(c) 把(p) 對方(n) 擺在(v) 重要(a) 的(uj) 位置(v) 但(c) 到(v) 最後(f) 卻(d) 有種(r) 被(p) 拋棄(v) 的(uj) 感覺(n) 甚至(d) 自己(r) 家裡(x) 遭逢(v) 巨(nr) 變壓(vn) 力(n) 很大(a) 時還(x) 被(p) 對方(n) 落井下石(i) 整個(b) 過程(n) 是(v) 莫名其妙(i) 如今(t) 換來(v) 的(uj) 是(v) 滿滿的(z) 不(d) 甘心(n) 與(zg) 憤怒(v) 不(d) 曉得(v) 有(v) 經驗(n) 的(uj) 大家(n) 可以(c) 和(c) 我(r) 分享(v) 你們(r) 怎麼(r) 解決(v) 分開(v) 到(v) 最後(f) 那種(r) 非常(d) 不(d) 甘心(n) 的(uj) 感覺(n) 呢(y)"
8,"分手了","分手(v) 了(ul) 我們(r) 在(p) 昨天(t) 分手(v) 了(ul) 我們(r) 長達(ns) 2(x) 年(m) 的(uj) 感情(n) 因為(x) 我觸(x) 碰(v) 你(r) 的(uj) 爆發(v) 點(zg) 讓(v) 你(r) 決定(v) 離開(v) 我(r) 我(r) 知道(v) 這是(x) 我(r) 自己(r) 的(uj) 問題(n) 我(r) 還是(c) 捨不得你(nr) 我(r) 很(zg) 愛(zg) 你(r) 我(r) 一直(d) 以為(x) 我們(r) 能(v) 這樣(r) 走(v) 30.40(m) 年(m) 走到(v) 你(r) 推著(x) 我(r) 的(uj) 輪椅(n) 去(v) 曬太陽(n) 但是(c) 最終(d) 我們(r) 還是(c) 分手(v) 了(ul) 我(r) 努力(ad) 的(uj) 挽回(v) 你(r) 但是(c) 妳(zg) 堅決(ad) 的(uj) 說(zg) 我們(r) 真的(d) 分手(v) 了(ul) 到(v) 最後(f) 我(r) 只能(v) 尊重(a) 你(r) 的(uj) 決定(v) 謝謝(nr) 你(r) 這(zg) 兩年(m) 對(p) 我(r) 的(uj) 照顧(v) 包容(v) 那些(r) 美好(a) 的(uj) 回憶(v) 我會(n) 好好(d) 藏著(x) 我會(n) 讓(v) 自己(r) 成長(v) 更好(d) 的(uj) 人(n) 我(r) 知道(v) 你(r) 的(uj) 未來(t) 裡(zg) 不會(v) 在(p) 有(v) 我(r) 了(ul) 但是(c) 我(r) 還是(c) 希望(v) 你(r) 能(v) 幸福(a)"
9,"分手了","分手(v) 了(ul) 今早(x) 跟(p) 交往(v) 一年(m) 多(m) 的(uj) 女友(n) 分手(v) 了(ul) 其實(d) 分手(v) 是(v) 我(r) 提(v) 的(uj) 說完(v) 之後(f) 感覺(n) 蠻(d) 落寞(a) 後悔(v) 的(uj) 這是(x) 我(r) 第一個(m) 女朋友(n) 心情(n) 真的(d) 蠻差(x) 的(uj) 會(v) 分手(v) 的(uj) 原因(n) 大概(d) 如下(t) 1.(m) 雙方(n) 距離(n) 說遠(x) 不遠(d) 開車(v) 四五十(m) 分鐘(q) 可以(c) 到(v) 但是(c) 大概(d) 就(d) 一個(m) 禮拜(ns) 見(v) 一次(m) 面(n) 我(r) 自己(r) 感覺(n) 有點(n) 少(a) 2.(m) 雙方(n) 有些(r) 觀念(n) 不太(x) 一樣(r) 譬如(v) 結婚(v) 金錢觀(n) 等等(u) 3.(m) 因為(x) 女方(n) 是(v) 原住民(n) 家人(n) 可能(v) 有些(r) 意見(n) 不過(c) 都還沒(nr) 見過面(l) 其實(d) 這陣子(l) 相處(d) 就(d) 都(d) 有些(r) 摩擦(vn) 了(ul) 我(r) 覺得(v) 我(r) 是(v) 很(zg) 差勁(n) 的(uj) 男友(n) 討論(v) 事情(n) 很常(x) 潑冷水(n) 我(r) 自己(r) 個性(n) 蠻(d) 衝動(vn) 的(uj) 所以(c) 常常(d) 講(zg) 一些(m) 不好(d) 聽(v) 的話(u) 我(r) 覺得(v) 她(r) 個性(n) 大部分(m) 都(d) 不錯(a) 可是(c) 受限(v) 上面(f) 三點(m) 常常(d) 覺得(v) 不(d) 知道(v) 該(r) 如何(r) 往下走(v) 早上(t) 提完(x) 分手(v) 後(f) 我(r) 心情(n) 超級(b) 差(a) 的(uj) 該(r) 如何(r) 調適(a) 呢(y)"
10,"提分手的人，還是會痛，得證","提(v) 分手(v) 的(uj) 人(n) 還是(c) 會痛(x) 得證(x) 有人(r) 說(zg) 會痛(x) 是(v) 因為(x) 已經(d) 無法(n) 忍耐(v) 所以(c) 痛著(x) 說(zg) 分手(v) 是啊(x) 是(v) 的(uj) 剛在(t) 一起(m) 時(zg) 你(r) 不願合(x) 我(r) 合照(v) 後來(t) 有(v) 其他人(rr) 追求(v) 我時(x) 你(r) 也(d) 依然故我(i) 當我(x) 戒指(n) 不見(v) 的(uj) 時候(n) 你(r) 說(zg) 再(d) 買(v) 就(d) 好(a) 是啊(x) 戒指(n) 就是(d) 要(v) 自己(r) 買(v) 不然(c) 就是(d) 跟(p) 你(r) 要(v) 了(ul) 承諾(v) 我(r) 真的(d) 很(zg) 想(v) 你(r) 想(v) 你(r) 那(r) 每分(x) 每秒(r) 呵護(v) 我(r) 的(uj) 時光(n) 我(r) 很(zg) 想(v) 你(r) 這(zg) 8(x) 年來(t) 我們(r) 風風雨雨(i) 可是(c) 我(r) 知道(v) 你(r) 不是(c) 和(c) 我(r) 一起(m) 一輩子(m) 的(uj) 那個(r) 人(n) 你(r) 也(d) 知道(v) 我(r) 說(zg) 分手(v) 的(uj) 時候(n) 你(r) 花(v) 了(ul) 一(m) 小時(n) 才(d) 回覆(v) 我(r) 我(r) 很(zg) 感激(v) 我還(x) 值得(v) 你(r) 冷靜(a) 一(m) 小時(n) 啊(zg) 謝謝(nr) 我(r) 知道(v) 我(r) 知道(v) 你(r) 愛過(x) 我(r) 可是(c) 我(r) 知道(v) 你(r) 沒(v) 那麼(r) 愛我(x) 而且(c) 我(r) 知道(v) 和(c) 你(r) 一輩子(m) 的(uj) 人(n) 不是(c) 我(r) 再見(v) 我(r) 的(uj) 過去(t) 我(r) 知道(v) 你(r) 也(d) 不(d) 捨(zg) 但是(c) 因為(x) 你(r) 的(uj) 驕傲(a) 你(r) 的(uj) 不(d) 捨(zg) 我(r) 永遠(d) 不會(v) 感受(v) 到(v) 但是(c) 謝謝(nr) 你(r) 的(uj) 照顧(v) 我要(x) 勇敢(a) 往前走(v) 了(ul) 我會(n) 一直(d) 勇敢(a) 等(u) 我(r) 撐過(v) 這段(r) 心(n) 空空(n) 的(uj) 日子(n) 開著車(x) 我(r) 想(v) 的(uj) 是(v) 你(r) 我(r) 多(m) 想(v) 可以(c) 一起(m) 走(v) 下去(t)"
